recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,total_packets,retransmit_count,dup_ack_count,timestamp,success,error
4096,25,4096,0.25,160.0,1.6,8.020330836996436,925272,112.66192827506693,0,0.0,0.0,1448,64512,43989.23956043956,606,910,4,0,2025-12-21T22:02:40.554108,True,
4096,25,4096,1.0,160.0,6.4,8.02171553496737,925272,112.64248072138543,0,0.0,0.0,1448,64512,43989.18729463308,608,913,4,0,2025-12-21T22:02:50.330348,True,
4096,100,4096,0.25,40.0,6.4,8.009826250025071,232880,28.39285995739148,38,0.0,0.0,0,64512,33598.76129032258,228,310,3,0,2025-12-21T22:03:00.118242,True,
4096,100,4096,1.0,40.0,25.6,8.010464264079928,232880,28.390598534942892,38,0.0,0.0,0,64512,33602.77922077922,226,308,3,0,2025-12-21T22:03:09.857611,True,
16384,25,4096,0.25,160.0,1.6,8.012903781956993,1306624,159.2431451471095,57,0.0,0.0,0,64512,51897.46775658492,406,1101,1,0,2025-12-21T22:03:19.608960,True,
16384,25,4096,1.0,160.0,6.4,8.019604815053754,1306624,159.1100845274565,57,0.0,0.0,0,64512,52033.48498635123,401,1099,3,0,2025-12-21T22:03:29.336572,True,
16384,100,4096,0.25,40.0,6.4,8.010024697054178,327680,39.94993924521674,25,0.0,0.0,0,64512,49315.72700296736,152,337,4,0,2025-12-21T22:03:39.117081,True,
16384,100,4096,1.0,40.0,25.6,8.009738549008034,327680,39.95136645747699,26,0.0,0.0,0,64512,49311.68862275449,149,334,4,0,2025-12-21T22:03:48.850522,True,
