================================================
TCP Flow Control Parameter Sweep
================================================
Preset:    starlink-realistic-degraded
Cluster:   starlink-realistic
Output:    /home/acooks/jittertrap/pathological-porcupines/experiments/tcp-flow-control/results/starlink-realistic/starlink-realistic-degraded.csv
Topology:  pp-source (10.0.1.1) -> pp-dest (10.0.1.2)

Starting packet capture...
dropped privs to tcpdump
tcpdump: listening on br0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
Running namespace-aware sweep...

19:23:06 INFO       -> zero_window=0, throughput=122KB/s, rtt_mean=52.0ms
19:23:07 INFO     [30/96] buf=262144, delay=1ms, rate=25.0MB/s, net=45ms±20ms loss=1.0%, cc=bbr
19:23:20 INFO       -> zero_window=0, throughput=382KB/s, rtt_mean=61.1ms
19:23:21 INFO     [31/96] buf=262144, delay=1ms, rate=25.0MB/s, net=45ms±20ms loss=2.0%
19:23:33 INFO       -> zero_window=0, throughput=160KB/s, rtt_mean=58.8ms
19:23:34 INFO     [32/96] buf=262144, delay=1ms, rate=25.0MB/s, net=45ms±20ms loss=2.0%, cc=bbr
19:23:47 INFO       -> zero_window=0, throughput=360KB/s, rtt_mean=81.4ms
19:23:47 INFO     [33/96] buf=262144, delay=1ms, rate=10.0MB/s, net=30ms±10ms loss=1.0%
19:24:00 INFO       -> zero_window=0, throughput=359KB/s, rtt_mean=38.1ms
19:24:01 INFO     [34/96] buf=262144, delay=1ms, rate=10.0MB/s, net=30ms±10ms loss=1.0%, cc=bbr
19:24:14 INFO       -> zero_window=0, throughput=928KB/s, rtt_mean=78.1ms
19:24:15 INFO     [35/96] buf=262144, delay=1ms, rate=10.0MB/s, net=30ms±10ms loss=2.0%
19:24:27 INFO       -> zero_window=0, throughput=184KB/s, rtt_mean=37.1ms
19:24:28 INFO     [36/96] buf=262144, delay=1ms, rate=10.0MB/s, net=30ms±10ms loss=2.0%, cc=bbr
19:24:41 INFO       -> zero_window=0, throughput=624KB/s, rtt_mean=90.9ms
