================================================
TCP Flow Control Parameter Sweep
================================================
Preset:    starlink-realistic-handover
Cluster:   starlink-realistic
Output:    /home/acooks/jittertrap/pathological-porcupines/experiments/tcp-flow-control/results/starlink-realistic/starlink-realistic-handover.csv
Topology:  pp-source (10.0.1.1) -> pp-dest (10.0.1.2)

Starting packet capture...
dropped privs to tcpdump
tcpdump: listening on br0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
Running namespace-aware sweep...

18:31:00 INFO       -> zero_window=0, throughput=76KB/s, rtt_mean=50.4ms
18:31:01 INFO     [30/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±25ms loss=0.5%, cc=bbr
18:31:14 INFO       -> zero_window=0, throughput=250KB/s, rtt_mean=64.2ms
18:31:14 INFO     [31/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±25ms loss=1.0%
18:31:27 INFO       -> zero_window=0, throughput=85KB/s, rtt_mean=48.6ms
18:31:27 INFO     [32/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±25ms loss=1.0%, cc=bbr
18:31:40 INFO       -> zero_window=0, throughput=252KB/s, rtt_mean=62.3ms
18:31:40 INFO     [33/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±15ms loss=0.5%
18:31:53 INFO       -> zero_window=0, throughput=115KB/s, rtt_mean=29.1ms
18:31:54 INFO     [34/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±15ms loss=0.5%, cc=bbr
18:32:07 INFO       -> zero_window=0, throughput=472KB/s, rtt_mean=38.2ms
18:32:07 INFO     [35/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±15ms loss=1.0%
18:32:20 INFO       -> zero_window=0, throughput=140KB/s, rtt_mean=29.8ms
18:32:20 INFO     [36/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±15ms loss=1.0%, cc=bbr
18:32:34 INFO       -> zero_window=0, throughput=441KB/s, rtt_mean=35.7ms
18:32:34 INFO     [37/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±25ms loss=0.5%
18:32:47 INFO       -> zero_window=0, throughput=84KB/s, rtt_mean=32.6ms
18:32:47 INFO     [38/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±25ms loss=0.5%, cc=bbr
18:33:00 INFO       -> zero_window=0, throughput=342KB/s, rtt_mean=40.9ms
18:33:01 INFO     [39/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±25ms loss=1.0%
18:33:13 INFO       -> zero_window=0, throughput=84KB/s, rtt_mean=31.4ms
18:33:14 INFO     [40/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±25ms loss=1.0%, cc=bbr
18:33:27 INFO       -> zero_window=0, throughput=343KB/s, rtt_mean=40.9ms
18:33:27 INFO     [41/96] buf=262144, delay=1ms, rate=10.0MB/s, net=40ms±15ms loss=0.5%
18:33:40 INFO       -> zero_window=0, throughput=277KB/s, rtt_mean=52.7ms
18:33:41 INFO     [42/96] buf=262144, delay=1ms, rate=10.0MB/s, net=40ms±15ms loss=0.5%, cc=bbr
18:33:54 INFO       -> zero_window=0, throughput=503KB/s, rtt_mean=60.1ms
18:33:54 INFO     [43/96] buf=262144, delay=1ms, rate=10.0MB/s, net=40ms±15ms loss=1.0%
18:34:07 INFO       -> zero_window=0, throughput=455KB/s, rtt_mean=57.1ms
18:34:08 INFO     [44/96] buf=262144, delay=1ms, rate=10.0MB/s, net=40ms±15ms loss=1.0%, cc=bbr
18:34:21 INFO       -> zero_window=0, throughput=548KB/s, rtt_mean=77.0ms
18:34:21 INFO     [45/96] buf=262144, delay=1ms, rate=10.0MB/s, net=40ms±25ms loss=0.5%
18:34:34 INFO       -> zero_window=0, throughput=71KB/s, rtt_mean=48.1ms
18:34:35 INFO     [46/96] buf=262144, delay=1ms, rate=10.0MB/s, net=40ms±25ms loss=0.5%, cc=bbr
18:34:47 INFO       -> zero_window=0, throughput=255KB/s, rtt_mean=56.7ms
18:34:48 INFO     [47/96] buf=262144, delay=1ms, rate=10.0MB/s, net=40ms±25ms loss=1.0%
18:35:01 INFO       -> zero_window=0, throughput=100KB/s, rtt_mean=49.2ms
18:35:01 INFO     [48/96] buf=262144, delay=1ms, rate=10.0MB/s, net=40ms±25ms loss=1.0%, cc=bbr
18:35:14 INFO       -> zero_window=0, throughput=255KB/s, rtt_mean=62.0ms
18:35:15 INFO     [49/96] buf=262144, delay=1ms, rate=50.0MB/s, net=25ms±15ms loss=0.5%
18:35:27 INFO       -> zero_window=0, throughput=109KB/s, rtt_mean=29.1ms
18:35:28 INFO     [50/96] buf=262144, delay=1ms, rate=50.0MB/s, net=25ms±15ms loss=0.5%, cc=bbr
18:35:41 INFO       -> zero_window=0, throughput=417KB/s, rtt_mean=36.4ms
18:35:41 INFO     [51/96] buf=262144, delay=1ms, rate=50.0MB/s, net=25ms±15ms loss=1.0%
18:35:54 INFO       -> zero_window=0, throughput=142KB/s, rtt_mean=30.6ms
18:35:54 INFO     [52/96] buf=262144, delay=1ms, rate=50.0MB/s, net=25ms±15ms loss=1.0%, cc=bbr
18:36:08 INFO       -> zero_window=0, throughput=394KB/s, rtt_mean=39.0ms
18:36:08 INFO     [53/96] buf=262144, delay=1ms, rate=50.0MB/s, net=25ms±25ms loss=0.5%
18:36:21 INFO       -> zero_window=0, throughput=82KB/s, rtt_mean=31.0ms
18:36:21 INFO     [54/96] buf=262144, delay=1ms, rate=50.0MB/s, net=25ms±25ms loss=0.5%, cc=bbr
18:36:34 INFO       -> zero_window=0, throughput=350KB/s, rtt_mean=42.7ms
18:36:35 INFO     [55/96] buf=262144, delay=1ms, rate=50.0MB/s, net=25ms±25ms loss=1.0%
18:36:47 INFO       -> zero_window=0, throughput=86KB/s, rtt_mean=31.0ms
18:36:48 INFO     [56/96] buf=262144, delay=1ms, rate=50.0MB/s, net=25ms±25ms loss=1.0%, cc=bbr
18:37:01 INFO       -> zero_window=0, throughput=325KB/s, rtt_mean=43.7ms
18:37:01 INFO     [57/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±15ms loss=0.5%
18:37:14 INFO       -> zero_window=0, throughput=353KB/s, rtt_mean=50.0ms
18:37:14 INFO     [58/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±15ms loss=0.5%, cc=bbr
18:37:28 INFO       -> zero_window=0, throughput=532KB/s, rtt_mean=56.7ms
18:37:28 INFO     [59/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±15ms loss=1.0%
18:37:41 INFO       -> zero_window=0, throughput=256KB/s, rtt_mean=48.1ms
18:37:41 INFO     [60/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±15ms loss=1.0%, cc=bbr
18:37:54 INFO       -> zero_window=0, throughput=507KB/s, rtt_mean=78.2ms
18:37:55 INFO     [61/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±25ms loss=0.5%
18:38:07 INFO       -> zero_window=0, throughput=65KB/s, rtt_mean=47.1ms
18:38:08 INFO     [62/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±25ms loss=0.5%, cc=bbr
18:38:21 INFO       -> zero_window=0, throughput=254KB/s, rtt_mean=59.6ms
18:38:21 INFO     [63/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±25ms loss=1.0%
18:38:34 INFO       -> zero_window=0, throughput=77KB/s, rtt_mean=48.0ms
18:38:34 INFO     [64/96] buf=262144, delay=1ms, rate=50.0MB/s, net=40ms±25ms loss=1.0%, cc=bbr
18:38:47 INFO       -> zero_window=0, throughput=291KB/s, rtt_mean=59.8ms
18:38:48 INFO     [65/96] buf=262144, delay=1ms, rate=10.0MB/s, net=25ms±15ms loss=0.5%
