================================================
TCP Flow Control Parameter Sweep
================================================
Preset:    starlink-realistic-baseline
Cluster:   starlink-realistic
Output:    /home/acooks/jittertrap/pathological-porcupines/experiments/tcp-flow-control/results/starlink-realistic/starlink-realistic-baseline.csv
Topology:  pp-source (10.0.1.1) -> pp-dest (10.0.1.2)

Starting packet capture...
dropped privs to tcpdump
tcpdump: listening on br0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
Running namespace-aware sweep...

10:45:42 INFO     [29/144] buf=262144, delay=1ms, rate=50.0MB/s, net=15ms±7ms loss=0.1%
10:46:00 INFO       -> zero_window=0, throughput=478KB/s, rtt_mean=17.9ms
10:46:01 INFO     [30/144] buf=262144, delay=1ms, rate=50.0MB/s, net=15ms±7ms loss=0.1%, cc=bbr
10:46:20 INFO       -> zero_window=0, throughput=894KB/s, rtt_mean=19.4ms
10:46:21 INFO     [31/144] buf=262144, delay=1ms, rate=50.0MB/s, net=15ms±7ms loss=0.2%
10:46:39 INFO       -> zero_window=0, throughput=450KB/s, rtt_mean=17.6ms
10:46:40 INFO     [32/144] buf=262144, delay=1ms, rate=50.0MB/s, net=15ms±7ms loss=0.2%, cc=bbr
10:46:59 INFO       -> zero_window=0, throughput=1061KB/s, rtt_mean=19.7ms
10:46:59 INFO     [33/144] buf=262144, delay=1ms, rate=100.0MB/s, net=12ms±3ms loss=0.1%
10:47:21 INFO       -> zero_window=0, throughput=2648KB/s, rtt_mean=14.1ms
10:47:21 INFO     [34/144] buf=262144, delay=1ms, rate=100.0MB/s, net=12ms±3ms loss=0.1%, cc=bbr
10:47:46 INFO       -> zero_window=0, throughput=4612KB/s, rtt_mean=15.3ms
10:47:46 INFO     [35/144] buf=262144, delay=1ms, rate=100.0MB/s, net=12ms±3ms loss=0.2%
10:48:06 INFO       -> zero_window=0, throughput=1644KB/s, rtt_mean=13.9ms
10:48:07 INFO     [36/144] buf=262144, delay=1ms, rate=100.0MB/s, net=12ms±3ms loss=0.2%, cc=bbr
10:48:33 INFO       -> zero_window=0, throughput=5369KB/s, rtt_mean=17.3ms
10:48:33 INFO     [37/144] buf=262144, delay=1ms, rate=100.0MB/s, net=12ms±7ms loss=0.1%
10:48:51 INFO       -> zero_window=0, throughput=279KB/s, rtt_mean=14.2ms
10:48:51 INFO     [38/144] buf=262144, delay=1ms, rate=100.0MB/s, net=12ms±7ms loss=0.1%, cc=bbr
10:49:11 INFO       -> zero_window=0, throughput=911KB/s, rtt_mean=17.6ms
10:49:12 INFO     [39/144] buf=262144, delay=1ms, rate=100.0MB/s, net=12ms±7ms loss=0.2%
10:49:30 INFO       -> zero_window=0, throughput=245KB/s, rtt_mean=13.5ms
10:49:30 INFO     [40/144] buf=262144, delay=1ms, rate=100.0MB/s, net=12ms±7ms loss=0.2%, cc=bbr
10:49:50 INFO       -> zero_window=0, throughput=963KB/s, rtt_mean=17.7ms
10:49:50 INFO     [41/144] buf=262144, delay=1ms, rate=100.0MB/s, net=15ms±3ms loss=0.1%
10:50:11 INFO       -> zero_window=0, throughput=1841KB/s, rtt_mean=16.7ms
