recv_buf,delay_ms,read_size,send_rate_mbps,receiver_capacity_kbps,oversubscription_ratio,net_delay_ms,net_jitter_ms,net_loss_pct,congestion_algo,duration_actual,bytes_transferred,actual_throughput_kbps,zero_window_count,zero_window_duration_ms,zero_window_pct,window_min,window_max,window_mean,window_oscillations,rtt_min_us,rtt_max_us,rtt_mean_us,rtt_stddev_us,rtt_p50_us,rtt_p95_us,rtt_p99_us,rtt_samples,total_packets,retransmit_count,dup_ack_count,fast_retransmit_count,out_of_order_count,zero_window_probe_count,window_full_count,ecn_ece_count,ecn_cwr_count,ecn_ce_count,timestamp,success,error
262144,1,16384,20.0,16000.0,1.28,50,20,1.0,bbr,10.068628867855296,3444296,334.06438519532696,0,0.0,0.0,64240,313344,180195.1733044164,2108,84.0,221267.0,73613.74396135265,36050.651703720236,62221.0,163906.0,200570.0,414,5072,312,2052,182,0,0,0,2,59,0,2025-12-26T08:04:51.279893,True,
262144,1,16384,10.0,16000.0,0.64,50,0,0.5,cubic,10.020344007061794,2944736,286.98802635651526,0,0.0,0.0,64240,313344,108849.28797336662,274,50003.0,91991.0,50557.17989417989,3940.588307059407,50057.0,51056.0,78963.0,378,2403,8,57,4,0,0,0,2,9,0,2025-12-26T08:05:04.829994,True,
262144,1,16384,10.0,16000.0,0.64,50,0,0.5,bbr,10.000044042011723,18677616,1823.9779043343756,0,0.0,0.0,64240,313344,127590.41234821276,5864,50002.0,152054.0,51182.51914605219,7514.972475143072,50430.0,50919.0,73229.0,2951,17541,53,1563,43,0,0,6,2,31,0,2025-12-26T08:05:18.175968,True,
262144,1,16384,10.0,16000.0,0.64,50,0,1.0,cubic,10.00924006709829,2129512,207.76817706030735,0,0.0,0.0,64240,313344,112143.01418842225,193,50001.0,147866.0,52322.620437956204,11167.43644110642,50043.0,51231.0,91992.0,274,1762,15,75,2,0,0,0,8,16,0,2025-12-26T08:05:32.912395,True,
262144,1,16384,10.0,16000.0,0.64,50,0,1.0,bbr,10.029618943110108,16072256,1564.9211190403337,0,0.0,0.0,64240,313344,125083.81084664854,4489,50001.0,150756.0,53297.62790697674,14719.316232871643,50431.0,50980.0,140478.0,2021,15083,93,1762,67,0,0,13,2,35,0,2025-12-26T08:05:46.144311,True,
262144,1,16384,10.0,16000.0,0.64,50,20,0.5,cubic,10.099744505947456,2722200,263.2144244772275,0,0.0,0.0,64240,313344,176247.10098765432,992,968.0,225479.0,62313.88065843622,19656.453246102417,60812.0,85416.0,153439.0,486,4050,213,1435,154,0,0,0,2,19,0,2025-12-26T08:06:00.604754,True,
262144,1,16384,10.0,16000.0,0.64,50,20,0.5,bbr,10.021242968039587,2539296,247.452462524727,0,0.0,0.0,0,313344,184818.7624168948,1385,4.0,195591.0,62274.717948717946,26272.55622156923,60854.0,105131.0,145830.0,507,5114,787,2063,410,0,0,0,2,113,0,2025-12-26T08:06:14.051660,True,
262144,1,16384,10.0,16000.0,0.64,50,20,1.0,cubic,10.128170997137204,1427232,137.614308683568,0,0.0,0.0,64240,313344,182604.78843302027,665,45.0,166157.0,59168.33548387097,19635.011307578636,58702.0,92365.0,123594.0,310,2023,102,687,41,0,0,0,2,28,0,2025-12-26T08:06:27.512375,True,
262144,1,16384,10.0,16000.0,0.64,50,20,1.0,bbr,10.048254190944135,3228544,313.7734117874416,0,0.0,0.0,64240,313344,181204.79541631622,2042,275.0,259160.0,64757.07363420427,25462.518286279905,61411.0,90893.0,178971.0,421,4756,272,1896,193,0,0,0,2,51,0,2025-12-26T08:06:40.821132,True,
262144,1,16384,20.0,16000.0,1.28,50,0,0.5,cubic,10.0623968988657,5197712,504.4415039494405,0,0.0,0.0,64240,313344,89787.15180782566,202,50002.0,150172.0,52062.587719298244,12364.759015496871,50048.0,51078.0,148902.0,342,4038,23,99,0,0,0,4,8,17,0,2025-12-26T08:06:54.331120,True,
